Text,Emotion
i felt anger when at the end of a telephone call,anger
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger
i am feeling outraged it shows everywhere,anger
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger
i feel so cold a href http irish,anger
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger
im feeling really out of place and irritated,anger
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger
i feel a bit stressed even though all the things i have going on are fun,anger
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger
i just plain feel envious of the self confidence they had,anger
when a friend dropped a frog down my neck,anger
im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger
i feel my heart is tortured by what i have done,anger
i grab it from the air its smooth frame feels cold to the touch,anger
i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger
i know its easy to feel a little envious of me and i cant tell you that you shouldnt,anger
i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,anger
i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger
i feel petty all of a sudden,anger
i feel slightly disgusted as well,anger
i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,anger
i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger
im feeling really bitter about this one,anger
i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,anger
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger
i wake too early so i feel grumpy,anger
i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,anger
i was somewhat coerced into this blog review so i feel a bit rushed and flustered,anger
i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,anger
i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,anger
i feel like my irritable sensitive combination skin has finally met it s match,anger
i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,anger
i feel really bothered about the lack of time i get to find inspiration,anger
i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,anger
i feel frustrated or the world around me lies shattered i just go and walk in the rain so that no body could see my eyes full of tears this is the delivery system of justice as conceptualized by our courts which we are learning the hard way,anger
i could change the emphasis and say i am stella and i m noticing i m feeling impatient,anger
i don t like outsourcing because i m a picky sod and usually end up feeling dissatisfied with the work of others but i have to force myself to outsource because you need to realize you can t do everything yourself,anger
ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,anger
i didnt feel i rushed things dhawan tweet script type text javascript src http platform,anger
i realized i was feeling really irritated while i was saying that,anger
i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,anger
i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,anger
i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,anger
im feeling slightly irritable today,anger
i always feel rushed during these emails which i dont like but asa este,anger
i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,anger
i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,anger
i am feeling crampy and cranky,anger
ive a feeling briar beagle would give me one of her disgusted looks if i even tried exercising her in these souless surroundings,anger
i feel immensely distracted by the barrage of media i receive solicit,anger
i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,anger
i know nothing is going to change even i feel very envious to these people but i cant stop feeling jealous to these people because its a human beings instinct to act so,anger
i am trying not to feel bitter but how else can i feel when it seems my desire is pretty much impossible,anger
i am reminded of pavement yurusei yatsura and coheed and cambria without feeling offended that they have ripped them off,anger
i feel like the people that i myself love want and need don t talk to me and don t connect with me anymore because they have fucked up mental health and emotional problems that i can t help contribute contain understand or encompass,anger
i am writing and sharing here is much more about my own story and what i believe with all my heart the world needs to know the riches we have in god than me feeling angry towards or trying to bash the people and leaders and parents,anger
i feel insulted pete edochie responds to death,anger
i feel but not to such a hostile extent,anger
i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter,anger
i love that this is a place a series with no real heroes and i love that the way the couples in these books fall in love feels just as violent and crazy as the place that they call home,anger
